,precision,recall,f1-score,support
Defence & Home Affairs,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
Digital Economy & Tech,0.625,0.5,0.5555555555555556,10.0
Education,0.85,0.85,0.85,40.0
Environment,0.7254901960784313,0.8809523809523809,0.7956989247311828,42.0
Financial Services,0.5,0.3333333333333333,0.4,9.0
Healthcare,0.8214285714285714,0.9387755102040817,0.8761904761904762,49.0
Housing & Property,0.7857142857142857,0.8461538461538461,0.8148148148148148,39.0
Labour & Workforce,0.8870967741935484,0.7971014492753623,0.8396946564885496,69.0
Other / Cross-cutting,0.2,0.06666666666666667,0.1,15.0
Social & Family Policy,0.6666666666666666,0.7441860465116279,0.7032967032967034,43.0
Transport,0.9142857142857143,0.9552238805970149,0.9343065693430657,67.0
accuracy,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691
macro avg,0.714366831776699,0.6903828450465904,0.6944353154228288,405.0
weighted avg,0.7892807334004889,0.8024691358024691,0.791329205219523,405.0
